ticker,asset_class,month,monthly_return,rolling_12m_average_return,absolute_move_rank
SPY,US equities,2020-04,0.12698317645292767,0.002795816006415338,1
EWC,Canadian equities,2020-04,0.11121255925471485,-0.008537845245790507,2
EEM,Emerging-market equities,2020-04,0.07354236406680137,-0.010326522060401569,3
GLD,Gold,2020-04,0.07261060305415867,0.023498636359366065,4
EFA,Developed international equities,2020-04,0.058174155071317735,-0.009328322069485195,5
AGG,US aggregate bonds,2020-04,0.017190828523810486,0.008578908901829163,6
EFA,Developed international equities,2020-05,0.05426918838174255,-0.0006117604379784943,1
SPY,US equities,2020-05,0.04764550105105947,0.012080554671891655,2
EWC,Canadian equities,2020-05,0.0354199837918836,-0.002025177872159769,3
EEM,Emerging-market equities,2020-05,0.029748636848476062,-0.0017392725304659074,4
GLD,Gold,2020-05,0.025881617898961817,0.02419091292470661,5
AGG,US aggregate bonds,2020-05,0.006725261981141983,0.0075469927029978194,6
EEM,Emerging-market equities,2020-06,0.06604919330854164,-0.001408275793160274,1
EWC,Canadian equities,2020-06,0.039882755959245175,-0.003430172109435775,2
EFA,Developed international equities,2020-06,0.035112013222669214,-0.0026121287064401846,3
GLD,Gold,2020-06,0.027377023451549354,0.019803235867446877,4
SPY,US equities,2020-06,0.017734174297295846,0.007759535249729758,5
AGG,US aggregate bonds,2020-06,0.006590838538584443,0.007180691717849796,6
GLD,Gold,2020-07,0.10790463368299674,0.028789026161709707,1
EEM,Emerging-market equities,2020-07,0.08252063780112495,0.007682379767322611,2
SPY,US equities,2020-07,0.058892811891068986,0.011407301335118969,3
EWC,Canadian equities,2020-07,0.05525495879453812,0.0018441140756301488,4
EFA,Developed international equities,2020-07,0.019385323190545423,0.0006261147285171834,5
AGG,US aggregate bonds,2020-07,0.013331943982741512,0.00814019708388943,6
SPY,US equities,2020-08,0.06979634579611305,0.018618970351038294,1
EWC,Canadian equities,2020-08,0.051263327980559215,0.006703128319300367,2
EFA,Developed international equities,2020-08,0.04722026809399282,0.006164453567246431,3
EEM,Emerging-market equities,2020-08,0.02887499099974966,0.013240818937193533,4
AGG,US aggregate bonds,2020-08,-0.008235994405931812,0.005134898680763185,5
GLD,Gold,2020-08,-0.003235673961331509,0.021925792311318682,6
EWC,Canadian equities,2020-09,-0.045280533963529934,0.0008308786064329851,1
GLD,Gold,2020-09,-0.04171404488758279,0.02127861030981722,2
SPY,US equities,2020-09,-0.03744393858891104,0.013877135763735208,3
EFA,Developed international equities,2020-09,-0.02046794936445595,0.0018220761309711657,4
EEM,Emerging-market equities,2020-09,-0.010103110298179119,0.01098892488141374,5
AGG,US aggregate bonds,2020-09,-0.0009730816891427851,0.005563911338098165,6
EFA,Developed international equities,2020-10,-0.03550678079059655,-0.003961032519332598,1
EWC,Canadian equities,2020-10,-0.03429394922837958,-0.0016809264205102648,2
SPY,US equities,2020-10,-0.02493312107006118,0.009957309420844681,3
EEM,Emerging-market equities,2020-10,0.014061862711181927,0.008674071265757172,4
AGG,US aggregate bonds,2020-10,-0.0055828011646580356,0.0049252311870099,5
GLD,Gold,2020-10,-0.005194207463702694,0.018709470275575502,6
EWC,Canadian equities,2020-11,0.1439364175358684,0.00785257984806013,1
EFA,Developed international equities,2020-11,0.14269443720560093,0.006990780001376938,2
SPY,US equities,2020-11,0.10877681212468371,0.01600552192789123,3
EEM,Emerging-market equities,2020-11,0.08991289044730588,0.016245093920794346,4
GLD,Gold,2020-11,-0.054086260852774015,0.016876105401216496,5
AGG,US aggregate bonds,2020-11,0.012067413809420557,0.005959651046855465,6
EEM,Emerging-market equities,2020-12,0.07129456551507296,0.01574441745363452,1
GLD,Gold,2020-12,0.07013861606934202,0.019674425344080204,2
EFA,Developed international equities,2020-12,0.050154087693105254,0.008674131043178481,3
SPY,US equities,2020-12,0.03704809069769022,0.01667160789636803,4
EWC,Canadian equities,2020-12,0.031124980252819068,0.008584134415716446,5
AGG,US aggregate bonds,2020-12,0.0008572646340370138,0.006070050181605354,6
GLD,Gold,2021-01,-0.03223816981252425,0.013238197949521599,1
EEM,Emerging-market equities,2021-01,0.03173979912182068,0.02351531932877678,2
