assumption,value,strategy,annual_return,annual_volatility,sharpe_ratio,maximum_drawdown,annual_turnover
maximum_weight,0.3,Maximum Sharpe,0.12295682302274957,0.11741005030349376,0.7917279890645228,-0.1838686043613481,0.8939189097244364
maximum_weight,0.3,Minimum variance,0.10450453757956679,0.09428382208950675,0.790215499630861,-0.18640752111341585,0.377841398208934
maximum_weight,0.3,Risk parity,0.09065183363536011,0.09758563271494684,0.6215242136363204,-0.19692795633590954,0.25128405263804576
maximum_weight,0.3,Equal weight,0.10347273982686334,0.11692443296686181,0.6283779870686792,-0.21994695466794634,0.20359531772575246
maximum_weight,0.3,Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.0
maximum_weight,0.5,Maximum Sharpe,0.13864483482943535,0.12461245733271033,0.8718617476530292,-0.1813621939108344,1.2736683814392886
maximum_weight,0.5,Minimum variance,0.0763367824870127,0.07772675551209175,0.596149706516493,-0.16533033962200894,0.3942856627693577
maximum_weight,0.5,Risk parity,0.07658384219610537,0.08592882851191636,0.5421212298925413,-0.1853972569572081,0.29743848497510794
maximum_weight,0.5,Equal weight,0.10347273982686334,0.11692443296686181,0.6283779870686792,-0.21994695466794634,0.20359531772575246
maximum_weight,0.5,Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.0
transaction_cost_bps,0.0,Maximum Sharpe,0.12396173482465378,0.11741282504649328,0.8002680694161536,-0.1835407611973564,0.8939189097244364
transaction_cost_bps,0.0,Minimum variance,0.10492054017983721,0.09430151125755439,0.7944786799356348,-0.1863426733419815,0.377841398208934
transaction_cost_bps,0.0,Risk parity,0.09092424167051139,0.09760443319836519,0.6241954353312287,-0.1969079183403789,0.25128405263804576
transaction_cost_bps,0.0,Equal weight,0.10369500149295341,0.11694522181587802,0.6301668452002338,-0.219946954667946,0.20359531772575246
transaction_cost_bps,0.0,Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.0
transaction_cost_bps,10.0,Maximum Sharpe,0.12295682302274957,0.11741005030349376,0.7917279890645228,-0.1838686043613481,0.8939189097244364
transaction_cost_bps,10.0,Minimum variance,0.10450453757956679,0.09428382208950675,0.790215499630861,-0.18640752111341585,0.377841398208934
transaction_cost_bps,10.0,Risk parity,0.09065183363536011,0.09758563271494684,0.6215242136363204,-0.19692795633590954,0.25128405263804576
transaction_cost_bps,10.0,Equal weight,0.10347273982686334,0.11692443296686181,0.6283779870686792,-0.21994695466794634,0.20359531772575246
transaction_cost_bps,10.0,Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.0
transaction_cost_bps,50.0,Maximum Sharpe,0.11894167140108469,0.11743301784672938,0.7573821488362764,-0.18517935376563255,0.8939189097244364
transaction_cost_bps,50.0,Minimum variance,0.1028397423442593,0.09423588664932725,0.7729512071692202,-0.18666688089018735,0.377841398208934
transaction_cost_bps,50.0,Risk parity,0.08956068132836581,0.09753142905648848,0.6106819299640254,-0.19700810504193644,0.25128405263804576
transaction_cost_bps,50.0,Equal weight,0.1025819405891657,0.11685868889712087,0.6211086336341222,-0.21994695466794556,0.20359531772575246
transaction_cost_bps,50.0,Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.0
covariance_estimator,sample,Maximum Sharpe,0.12235313090145827,0.11662318544714215,0.7918934005049627,-0.18235650660859637,0.8992006553830124
covariance_estimator,sample,Minimum variance,0.10437225288013718,0.09440984814942632,0.78775947994774,-0.18880651750091337,0.38939178490920606
covariance_estimator,sample,Risk parity,0.09064955440735356,0.09776444900713988,0.6203640998674707,-0.19770875849696046,0.2508810793770505
covariance_estimator,sample,Equal weight,0.10347273982686334,0.11692443296686181,0.6283779870686792,-0.21994695466794634,0.20359531772575246
covariance_estimator,sample,Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.0
covariance_estimator,ledoit_wolf,Maximum Sharpe,0.12295682302274957,0.11741005030349376,0.7917279890645228,-0.1838686043613481,0.8939189097244364
covariance_estimator,ledoit_wolf,Minimum variance,0.10450453757956679,0.09428382208950675,0.790215499630861,-0.18640752111341585,0.377841398208934
covariance_estimator,ledoit_wolf,Risk parity,0.09065183363536011,0.09758563271494684,0.6215242136363204,-0.19692795633590954,0.25128405263804576
covariance_estimator,ledoit_wolf,Equal weight,0.10347273982686334,0.11692443296686181,0.6283779870686792,-0.21994695466794634,0.20359531772575246
covariance_estimator,ledoit_wolf,Benchmark (SPY),0.14872544460585613,0.1712764383383795,0.6931802515142109,-0.24496392139544665,0.0
