date,ticker,asset_class,adjusted_close,volume
2018-04-09,EFA,Developed international equities,54.072529,18498700
2018-04-09,EWC,Canadian equities,23.218311,1783100
2018-04-09,GLD,Gold,126.820000,4189900
2018-04-09,SPY,US equities,230.050644,105442900
2018-04-10,AGG,US aggregate bonds,83.788841,2941900
2018-04-10,EEM,Emerging-market equities,39.809696,87142000
2018-04-10,EFA,Developed international equities,54.652122,19233800
2018-04-10,EWC,Canadian equities,23.453089,2861500
2018-04-10,GLD,Gold,127.120003,5268800
2018-04-10,SPY,US equities,233.708511,103529000
2018-04-11,AGG,US aggregate bonds,83.859352,8598800
2018-04-11,EEM,Emerging-market equities,39.826263,51569200
2018-04-11,EFA,Developed international equities,54.443466,21099100
2018-04-11,EWC,Canadian equities,23.486633,1721800
2018-04-11,GLD,Gold,128.110001,12348600
2018-04-11,SPY,US equities,232.483398,91140200
2018-04-12,AGG,US aggregate bonds,83.671234,3899000
2018-04-12,EEM,Emerging-market equities,39.809696,52968500
2018-04-12,EFA,Developed international equities,54.652122,18012500
2018-04-12,EWC,Canadian equities,23.486633,1809000
2018-04-12,GLD,Gold,126.620003,8141300
2018-04-12,SPY,US equities,234.396103,68890500
2018-04-13,AGG,US aggregate bonds,83.694778,2764800
2018-04-13,EEM,Emerging-market equities,39.412018,56518000
2018-04-13,EFA,Developed international equities,54.706219,14515400
2018-04-13,EWC,Canadian equities,23.436317,1523700
2018-04-13,GLD,Gold,127.449997,6821300
2018-04-13,SPY,US equities,233.708511,85079200
2018-04-16,AGG,US aggregate bonds,83.710442,3860800
2018-04-16,EEM,Emerging-market equities,39.461727,43005800
2018-04-16,EFA,Developed international equities,54.791229,15678300
2018-04-16,EWC,Canadian equities,23.536938,1298500
2018-04-16,GLD,Gold,127.629997,4600000
2018-04-16,SPY,US equities,235.630051,63405300
2018-04-17,AGG,US aggregate bonds,83.733940,2363000
2018-04-17,EEM,Emerging-market equities,39.544567,58168100
2018-04-17,EFA,Developed international equities,55.038525,17545600
2018-04-17,EWC,Canadian equities,23.679485,1351300
2018-04-17,GLD,Gold,127.750000,4184100
2018-04-17,SPY,US equities,238.150894,64682000
2018-04-18,AGG,US aggregate bonds,83.498863,2231700
2018-04-18,EEM,Emerging-market equities,39.884262,80289500
2018-04-18,EFA,Developed international equities,55.324451,17035100
2018-04-18,EWC,Canadian equities,23.796875,3529600
2018-04-18,GLD,Gold,127.849998,6755600
2018-04-18,SPY,US equities,238.327255,57303900
2018-04-19,AGG,US aggregate bonds,83.295074,10985100
2018-04-19,EEM,Emerging-market equities,39.652279,67581100
2018-04-19,EFA,Developed international equities,55.115791,20004000
2018-04-19,EWC,Canadian equities,23.612410,2270600
2018-04-19,GLD,Gold,127.599998,8736100
2018-04-19,SPY,US equities,237.005096,77655900
2018-04-20,AGG,US aggregate bonds,83.067825,2766000
2018-04-20,EEM,Emerging-market equities,39.155170,80997700
